keys,es,en,pt_BR,zh_CN,fr
ZOMBIE0,Zombi Desgarrado,Torn Zombie,Zumbi Despedaçado,残破丧尸,Zombie Déchiré
ZOMBIE0_DESC,"Un cadáver reanimado, pero con energía limitada y movimientos torpes.","A reanimated corpse, but with limited energy and clumsy movements.","Um cadáver reanimado, mas com energia limitada e movimentos grosseiros.",一具被重新唤起的尸体，但残存的力量有限，动作也相当笨拙。,"Un cadavre réanimé, mais avec une énergie limitée et des mouvements maladroits."
ZOMBIE,Zombi,Zombie,Zumbi,丧尸,Zombie
ZOMBIE_DESC,Una criatura putrefacta que se mueve sin rumbo ni control.,A putrid creature that moves without direction or control.,Uma criatura em putrefação que se move sem direção ou controle.,一头腐臭的怪物，行动毫无方向，也没有自制能力。,Une créature putréfiée qui se déplace sans but ni contrôle.
OGREROCK,Ogro Lanzarrocas,Rock Ogre,Ogro Lança Rochas,岩石食人魔,Ogre Lance-Pierres
GHOST,Fantasma,Ghost,Fantasma,幽灵,Fantôme
SKELETON,Esqueleto,Skeleton,Esqueleto,骷髅,Squelette
EYEBULLET,Ojo Bala,Bullet Eye,Olho Bala,弹眼,Œil à Balles
AMPHIBIEANWATER,Draco de Agua,Water Drake,Draco de Água,水龙蜥,Dragon d'Eau
OCTOLASER,Pulpo Maligno,Evil Octopus,Polvo Maligno,邪恶章鱼,Poulpe Maléfique
GIANTSEASTAR,Estrella de mar,Starfish,Estela do Mar,海星,Étoile de Mer
GIANTFIRESTAR,Estrella de fuego,Firestar,Estrela de Fogo,火焰海星,Étoile de Feu
BATCHASER,Murciélago Acechador,Stalker Bat,Morcego perseguidor,追猎蝙蝠,Chauve-Souris Rôdeuse
BAT,Murciélago,Bat,Morcego,蝙蝠,Chauve-Souris
MUTANTRAT,Rata mutante,Mutant Rat,Rato Mutante,变异鼠,Rat Mutant
IMPALEDSKELETON,Esqueleto Empalado,Impaled Skeleton,Esqueleto Empalado,穿刺骷髅,Squelette Empalé
AHUIZOTE_W_KNIFE,Ahuizote Cuchillo,Knife Ahuizote,Ahuizote com Faca,持刀 Ahuizote,Ahuizote Couteau
AHUIZOTE_MOLOTOV,Ahuizote Molotov,Molotov Ahuizote,Ahuizote do Molotov,燃烧瓶 Ahuizote,Ahuizote Molotov
BLADESKELETON,Esqueleto Spada,Sword Skeleton,Esqueleto Espadachim,剑骷髅,Squelette Épée
SKELETONWARRIOR,Esqueleto Guerrero,Warrior Skeleton,Esqueleto Guerreiro,战士骷髅,Squelette Guerrier
GOLUM,Golem,Golem,Golem,魔像,Golem
BOARWARRIOR,Javalí Guerrero,Warrior Boar,Javali Guerreiro,野猪战士,Guerrier Sanglier
GUEGUENSE_DARK,Gueguense Oscuro,Dark Gueguense,Gueguense Obscuro,黑暗圭格温赛,Gueguense Sombre
ZOMBIEHAND,Mano de Zombie,Zombie Hand,Mão Zumbi,丧尸手,Main de Zombie
SPIDERSKULL,Araña Calavera,Skull Spider,Aranha Caveira,骷髅蜘蛛,Araignée Crâne
MUMMY,Momia,Mummy,Múmia,木乃伊,Momie
GIANTSPIDER,Araña Gigante,Giant Spider,Aranha Gigante,巨蛛,Araignée Géante
GIANTWORM,Gusano Gigante,Giant Worm,Verme Gigante,巨型蠕虫,Ver Géant
SKULLFIRE,Calavera de Fuego,Fire Skull,Caveira de Fogo,火焰骷髅,Crâne de Feu
EVILVINECURSE,Evilvine Maldito,Cursed Evilvine,Evilvine Amaldiçoada,受诅邪藤,Evilvine Maudit
GOBLINSPEAR,Goblin de Lanza,Spear Goblin,Goblin Lanceiro,持矛哥布林,Gobelin Lanceur
GOBLINASSASIN,Goblin Asesino,Assassin Goblin,Goblin Assassino,刺客哥布林,Gobelin Assassin
FIREBAT,Murciélago de Fuego,Fire Bat,Morcego de Fogo,火焰蝙蝠,Chauve-Souris de Feu
GOBLINMAGE,Goblin Mago,Mage Goblin,Goblin Mago,哥布林法师,Gobelin Mage
AERIASKELETON,Esqueleto Mágico,Magical Skeleton,Esqueleto Mágico,魔法骷髅,Squelette Magique
CROW,Cuervo,Raven,Corvo,渡鸦,Corbeau
FLOATINGSKULL,Calavera Fantasma,Ghost Skull,Caveira Fantasma,幽魂头骨,Crâne Fantôme
OGREWARRIOR,Ogro Guerrero,Warrior Ogre,Ogro Guerreiro,食人魔战士,Ogre Guerrier
LIZARDMAN,Hombre Anfibio,Amphibian Man,Homem Anfíbio,两栖人,Homme Amphibien
ICEGOLEM,Golem de hielo,Ice Golem,Golem de Gelo,冰魔像,Golem de Glace
CLAWDEMON,Demonio Hueco,Void Demon,Demônio do Vazio,虚空恶魔,Démon du Vide
HANDDEMON,Demonio Mano,Hand Demon,Demônio da Mão,手之恶魔,Main Démon
ARACHNEADEMON,Demonio Arachnea,Arachnea Demon,Demônio Arachnea,蛛形恶魔,Démon Araignée
BLOODLESSDEMON,Demonio Sangría,Bloodless Demon,Demônio Sangrento,无血恶魔,Démon Exsangue
LANCEDEMON,Demonio Lanza,Lance Demon,Demônio da Lança,枪骑恶魔,Démon Lance
SPINEDEMON,Demonio Garra,Claw Demon,Demônio da Garra,爪刃恶魔,Démon Griffe
AHUIZOTE_INVOKE,Ahuizote Invocador,Summoner Ahuizote,Ahuizote Invocador,召唤师 Ahuizote,Ahuizote Invocateur
SPECTRALHOUND,Sabueso Espectral,Spectral Hound,Cão de caça Espectral,幽冥猎犬,Chien Spectral
AHUIZOTEINFECTED,Ahuizote Infectado,Infected Ahuizote,Ahuizote Infectado,感染 Ahuizote,Ahuizote Infecté
AHUIZOTEPIROMAN,Ahuizote Pirómano,Pyromaniac Ahuizote,Ahuizote Piromaníaco,纵火狂 Ahuizote,Ahuizote Pyromane
THROWERSKELETON,Esqueleto Lanzador,Thrower Skeleton,Esqueleto Lançador,投掷骷髅,Squelette Lanceur
BOARWARRIORLVL10,Javalí Guerrero Nvl. 10,Warrior Boar Lvl. 10,Javali Guerreiro Lvl. 10,10级野猪战士,Guerrier Sanglier Niveau 10
GARGOYLE,Gárgola,Gargoyle,Gárgula,石像鬼,Gargouille
SPECTRALHORSE,Caballo Espectral,Spectral Horse,Cavalo Espectral,幽冥战马,Cheval Spectral
SLIME,Slime,Slime,Slime,,
LUREFISH,Lurefish,Lurefish,Lurefish,,
SWORDMASTER,Swordmaster,Swordmaster,Swordmaster,,
SWORDMAGIC,Swordmagic,Swordmagic,Swordmagic,,
WITIKOZOMBIE,Witiko Zombie,Witiko Zombie,Witiko Zombie,,
