keys,es,en,pt_BR
SACUANJOCHE_TITLE,Flor de Sacuanjoche,Sacuanjoche Flower,Flor de Sacuanjoche
SACUANJOCHE_DESC,Una flor tratada con alquimia para que no se marchite. Fue el preciado regalo de un amigo.,A flower treated with alchemy to prevent it from wilting. It was a precious gift from a friend.,Uma flor tratada com alquimia para prevenir de murchar. Era um presente estimado de um amigo.
BATTLE_BOOTS_TITLE,Botas de Batalla,Battle Boots,Botas de Batalha
BATTLE_BOOTS_DESC,Botas básicas de cualquier alquimista.,Basic boots of any alchemist.,Botas básicas de qualquer alquimista.
BATTLE_CLOTHES_TITLE,Vestido de Batalla,Battle Dress,Vestido de Batalha
BATTLE_CLOTHES_DESC,Fue el regalo de Rachel por el ascenso de Xandria a [Alquimista Oficial].,Rachel's gift to Xandria for her promotion to [Official Alchemist].,Presente da Rachel pela promoção de Xandria a [Alquimista Oficial].
WITCH_HAT_TITLE,Sombrero de Bruja,Witch Hat,Chapéu de Bruxa
WITCH_HAT_DESC,Un viejo sombrero de bruja que proporciona un poco de inteligencia a su portador.,An old witch's hat that provides a bit of intelligence to its wearer.,Um velho chapéu de bruxa que provém um pouco de inteligência ao seu portador.
BROKEN_SUBMERSIBLE_EQUIP_TITLE,Equip. Roto de sumersión,Broken Submersible Equip.,Equipamento Submersível Quebrado
BROKEN_SUBMERSIBLE_EQUIP_DESC,Un viejo equipo de sumersión.,Old submersible equipment.,Um velho equipamento submersível.
OGRE_BRACELET_TITLE,Brazalete de Ogro,Ogre Bracelet,
OGRE_BRACELET_DESC,"Un brazalete hecho con gruesos trozos de cuero y placas de metal, adornado con marcas tribales.","A bracelet made of thick pieces of leather and metal plates, adorned with tribal markings.",
